iter	RMSE
0	9.108582399
1	8.967753355
2	8.799100594
3	8.663620111
4	8.530020622
5	8.372578656
6	8.212611187
7	8.091190331
8	7.963008281
9	7.819949738
10	7.693951278
11	7.567554283
12	7.455091511
13	7.337207403
14	7.214150673
15	7.110039505
16	7.028693707
17	6.969467278
18	6.901912409
19	6.797924085
20	6.701701574
21	6.611000609
22	6.53417137
23	6.439964963
24	6.35239735
25	6.271331725
26	6.195555831
27	6.146151615
28	6.06525311
29	5.990845667
30	5.9214687
31	5.867038086
32	5.791825359
33	5.719481693
34	5.64761017
35	5.583203176
36	5.517796535
37	5.462124511
38	5.412025699
39	5.358515102
40	5.30130425
41	5.249365944
42	5.203972903
43	5.136797855
44	5.095243418
45	5.063488423
46	5.013678495
47	4.974222328
48	4.931017976
49	4.908568824
50	4.858117264
51	4.832741398
52	4.790067704
53	4.741449549
54	4.710185512
55	4.671214696
56	4.649852771
57	4.604000271
58	4.562885511
59	4.534039892
60	4.503100893
61	4.458168806
62	4.425650933
63	4.39316396
64	4.355713388
65	4.318273028
66	4.270660434
67	4.20898247
68	4.185306716
69	4.157707812
70	4.134848615
71	4.105830467
72	4.071154645
73	4.034463648
74	3.995010306
75	3.954157579
76	3.928460416
77	3.894854202
78	3.871453658
79	3.849227398
80	3.819562682
81	3.787153321
82	3.762087135
83	3.739811286
84	3.720684517
85	3.691176995
86	3.666303832
87	3.644284307
88	3.622528257
89	3.609017058
90	3.584806443
91	3.55829857
92	3.545047169
93	3.528355793
94	3.517142413
95	3.495164411
96	3.471970133
97	3.449641512
98	3.431812398
99	3.41845381
100	3.401961942
101	3.382477468
102	3.367325996
103	3.35015989
104	3.330672711
105	3.301337282
106	3.281790538
107	3.265125001
108	3.244012492
109	3.229256667
110	3.218242329
111	3.198286189
112	3.18585007
113	3.163024709
114	3.143700253
115	3.126358024
116	3.113943689
117	3.099990171
118	3.084563279
119	3.06833731
120	3.053019852
121	3.037875165
122	3.016462729
123	3.003011394
124	2.985702052
125	2.971931246
126	2.95389937
127	2.940903429
128	2.928002653
129	2.913557282
130	2.906714259
131	2.895101346
132	2.881111817
133	2.870637084
134	2.859174869
135	2.844192596
136	2.830484241
137	2.816156495
138	2.804400346
139	2.794454653
140	2.781413523
141	2.774352269
142	2.765074684
143	2.754576475
144	2.74374116
145	2.725095808
146	2.714448211
147	2.701760523
148	2.691364319
149	2.679484847
150	2.668914545
151	2.660302951
152	2.649202186
153	2.635735693
154	2.626099025
155	2.620591376
156	2.610474699
157	2.598800599
158	2.591644327
159	2.586143024
160	2.57544635
161	2.565771621
162	2.557083357
163	2.548154974
164	2.540763243
165	2.531891829
166	2.524025283
167	2.515791855
168	2.508474973
169	2.503078164
170	2.496678423
171	2.487435719
172	2.47869075
173	2.471210816
174	2.463238449
175	2.456029618
176	2.449389962
177	2.441964242
178	2.43466432
179	2.427196838
180	2.419353793
181	2.413838074
182	2.408510565
183	2.400979751
184	2.39604708
185	2.389211683
186	2.384541234
187	2.379231358
188	2.374055192
189	2.366953891
190	2.360066033
191	2.35518634
192	2.347883018
193	2.342267094
194	2.33774555
195	2.332604631
196	2.326130044
197	2.320063261
198	2.313025842
199	2.308194529
200	2.303368306
201	2.298116275
202	2.293101479
203	2.2848517
204	2.281032274
205	2.275650066
206	2.268847097
207	2.263658039
208	2.259054962
209	2.254607415
210	2.24867745
211	2.243997155
212	2.239038526
213	2.232960095
214	2.229572295
215	2.225632436
216	2.220332693
217	2.217558174
218	2.213294515
219	2.210016982
220	2.20067013
221	2.19484055
222	2.192442477
223	2.186785816
224	2.181758014
225	2.175034187
226	2.171620266
227	2.167930778
228	2.163273834
229	2.160584887
230	2.156563155
231	2.152476291
232	2.148172234
233	2.143138299
234	2.138225704
235	2.133755178
236	2.129950552
237	2.125798626
238	2.122179353
239	2.118843553
240	2.114401157
241	2.109151772
242	2.10536278
243	2.102105725
244	2.096924499
245	2.091514698
246	2.088050952
247	2.083885417
248	2.080657132
249	2.075689335
250	2.072821413
251	2.069210018
