iter	Passed	Remaining
0	66	66095
1	71	35557
2	76	25575
3	82	20507
4	88	17586
5	93	15555
6	99	14055
7	105	13136
8	110	12220
9	116	11499
10	122	10983
11	127	10526
12	133	10108
13	138	9743
14	143	9401
15	148	9150
16	154	8918
17	159	8698
18	164	8503
19	170	8335
20	175	8172
21	180	8030
22	186	7926
23	192	7818
24	197	7702
25	202	7586
26	207	7490
27	213	7399
28	218	7323
29	223	7239
30	229	7175
31	234	7103
32	240	7049
33	245	6987
34	251	6925
35	256	6861
36	262	6827
37	270	6854
38	277	6847
39	285	6846
40	291	6822
41	298	6798
42	304	6775
43	312	6792
44	320	6794
45	328	6810
46	335	6799
47	341	6770
48	346	6725
49	350	6666
50	356	6628
51	362	6616
52	369	6601
53	376	6591
54	380	6540
55	386	6518
56	392	6499
57	398	6470
58	403	6436
59	408	6400
60	413	6372
61	419	6340
62	424	6311
63	430	6291
64	435	6268
65	441	6244
66	446	6218
67	451	6190
68	456	6165
69	464	6173
70	472	6186
71	479	6186
72	486	6182
73	493	6176
74	499	6163
75	506	6153
76	512	6139
77	517	6119
78	522	6097
79	528	6075
80	533	6053
81	538	6031
82	540	5969
83	546	5963
84	552	5947
85	557	5928
86	563	5915
87	569	5899
88	574	5881
89	580	5867
90	585	5850
91	591	5836
92	596	5821
93	602	5803
94	607	5784
95	612	5767
96	617	5752
97	623	5734
98	628	5720
99	634	5712
100	639	5696
101	645	5680
102	650	5667
103	658	5673
104	666	5678
105	674	5686
106	680	5676
107	685	5660
108	690	5645
109	697	5639
110	702	5628
111	708	5619
112	714	5606
113	719	5591
114	725	5584
115	730	5570
116	736	5556
117	741	5541
118	746	5528
119	752	5518
120	758	5507
121	763	5492
122	768	5478
123	773	5464
124	778	5452
125	784	5444
126	790	5433
127	796	5426
128	802	5416
129	807	5403
130	812	5391
131	818	5379
132	824	5371
133	829	5359
134	835	5352
135	840	5340
136	847	5335
137	854	5338
138	861	5339
139	869	5339
140	878	5350
141	885	5350
142	893	5356
143	900	5354
144	908	5355
145	916	5360
146	923	5359
147	931	5361
148	938	5357
149	944	5350
150	949	5340
151	955	5331
152	961	5320
153	966	5307
154	971	5296
155	977	5287
156	984	5284
157	992	5289
158	998	5281
159	1003	5270
160	1008	5257
161	1014	5245
162	1019	5233
163	1024	5222
164	1029	5210
165	1035	5202
166	1043	5204
167	1048	5194
168	1056	5194
169	1063	5191
170	1070	5189
171	1075	5177
172	1081	5169
173	1087	5161
174	1092	5152
175	1098	5142
176	1103	5130
177	1109	5123
178	1116	5119
179	1121	5110
180	1127	5100
181	1132	5089
182	1137	5078
183	1142	5068
184	1148	5058
185	1153	5047
186	1159	5039
187	1164	5029
188	1169	5018
189	1174	5008
190	1180	5000
191	1186	4991
192	1191	4983
193	1197	4976
194	1203	4967
195	1209	4960
196	1214	4949
197	1219	4939
198	1224	4929
199	1229	4919
200	1235	4910
201	1242	4909
202	1250	4907
203	1255	4899
204	1260	4889
205	1266	4880
206	1271	4871
207	1276	4862
208	1282	4855
209	1288	4847
210	1294	4840
211	1300	4833
212	1306	4826
213	1312	4820
214	1318	4815
215	1324	4807
216	1329	4798
217	1334	4788
218	1340	4778
219	1345	4769
220	1350	4760
221	1355	4750
222	1361	4742
223	1366	4733
224	1371	4723
225	1376	4714
226	1382	4706
227	1387	4697
228	1392	4687
229	1398	4681
230	1403	4673
231	1409	4665
232	1414	4656
233	1419	4647
234	1424	4638
235	1430	4630
236	1435	4621
237	1443	4623
238	1450	4619
239	1456	4611
240	1461	4602
241	1466	4594
242	1472	4587
243	1478	4580
244	1483	4571
245	1488	4562
246	1493	4554
247	1499	4546
248	1504	4537
249	1509	4528
250	1514	4520
251	1520	4513
252	1525	4505
253	1531	4496
254	1536	4488
255	1541	4479
256	1546	4470
257	1551	4462
258	1558	4458
259	1563	4451
260	1569	4443
261	1574	4435
262	1579	4427
263	1585	4419
264	1590	4410
265	1595	4402
266	1601	4396
267	1606	4388
268	1611	4380
269	1617	4372
270	1622	4364
271	1627	4356
272	1632	4347
273	1638	4341
274	1646	4341
275	1654	4339
276	1659	4332
277	1665	4325
278	1670	4317
279	1676	4311
280	1682	4305
281	1688	4299
282	1694	4292
283	1699	4285
284	1705	4278
285	1711	4272
286	1716	4265
287	1723	4260
288	1729	4254
289	1734	4247
290	1740	4239
291	1746	4233
292	1751	4226
293	1758	4221
294	1765	4218
295	1771	4212
296	1777	4206
297	1782	4199
298	1787	4191
299	1793	4184
300	1799	4178
301	1805	4171
302	1811	4165
303	1816	4159
304	1822	4153
305	1828	4145
306	1834	4139
307	1841	4137
308	1849	4136
309	1856	4133
310	1862	4126
311	1868	4119
312	1874	4114
313	1879	4106
314	1886	4102
315	1892	4095
316	1897	4088
317	1903	4083
318	1909	4075
319	1914	4069
320	1921	4064
321	1927	4058
322	1932	4051
323	1938	4044
324	1944	4038
325	1949	4030
326	1955	4024
327	1961	4017
328	1967	4012
329	1973	4005
330	1978	3998
331	1984	3992
332	1990	3986
333	1995	3979
334	2001	3972
335	2007	3967
336	2013	3961
337	2020	3956
338	2025	3949
339	2032	3946
340	2040	3943
341	2049	3943
342	2055	3936
343	2061	3930
344	2067	3925
345	2072	3917
346	2077	3910
347	2083	3904
348	2089	3897
349	2095	3891
350	2101	3884
351	2106	3877
352	2111	3870
353	2119	3868
354	2125	3862
355	2132	3857
356	2137	3850
357	2143	3843
358	2149	3838
359	2155	3832
360	2163	3830
361	2170	3824
362	2175	3818
363	2184	3816
364	2189	3809
365	2198	3808
366	2207	3807
367	2215	3805
368	2222	3799
369	2230	3798
370	2239	3797
371	2250	3798
372	2258	3795
373	2266	3793
374	2272	3787
375	2282	3787
376	2289	3782
377	2298	3781
378	2304	3775
379	2313	3774
380	2319	3768
381	2327	3765
382	2334	3760
383	2341	3756
384	2348	3750
385	2353	3744
386	2362	3741
387	2367	3734
388	2375	3731
389	2381	3725
390	2388	3720
391	2396	3716
392	2403	3712
393	2409	3705
394	2415	3699
395	2421	3693
396	2428	3688
397	2433	3681
398	2442	3679
399	2449	3673
400	2455	3667
401	2460	3659
402	2465	3652
403	2471	3645
404	2476	3638
405	2482	3631
406	2487	3624
407	2493	3617
408	2498	3610
409	2503	3602
410	2508	3595
411	2514	3587
412	2519	3581
413	2525	3574
414	2530	3567
415	2536	3560
416	2541	3552
417	2546	3546
418	2551	3538
419	2557	3531
420	2562	3524
421	2568	3517
422	2573	3510
423	2578	3503
424	2584	3496
425	2589	3489
426	2595	3482
427	2600	3475
428	2606	3469
429	2612	3463
430	2617	3455
431	2624	3450
432	2632	3446
433	2638	3441
434	2645	3435
435	2650	3428
436	2656	3421
437	2661	3414
438	2666	3407
439	2671	3400
440	2677	3393
441	2682	3386
442	2688	3380
443	2693	3372
444	2698	3365
445	2703	3358
446	2708	3351
447	2714	3344
448	2719	3337
449	2725	3330
450	2732	3325
451	2737	3319
452	2743	3312
453	2748	3305
454	2754	3298
455	2759	3292
456	2765	3285
457	2770	3278
458	2776	3272
459	2781	3265
460	2786	3258
461	2791	3251
462	2797	3244
463	2803	3237
464	2808	3231
465	2814	3225
466	2822	3221
467	2830	3217
468	2837	3212
469	2843	3206
470	2849	3200
471	2855	3194
472	2861	3188
473	2866	3181
474	2872	3175
475	2880	3170
476	2887	3165
477	2893	3159
478	2898	3152
479	2906	3148
480	2911	3141
481	2918	3136
482	2926	3132
483	2931	3125
484	2939	3121
485	2944	3114
486	2951	3109
487	2957	3103
488	2965	3098
489	2971	3093
490	2977	3086
491	2984	3081
492	2989	3074
493	2995	3068
494	3002	3063
495	3008	3057
496	3016	3053
497	3025	3050
498	3034	3046
499	3042	3042
500	3051	3039
501	3057	3032
502	3063	3026
503	3070	3021
504	3075	3015
505	3084	3011
506	3091	3005
507	3098	3001
508	3104	2994
509	3111	2989
510	3119	2985
511	3126	2979
512	3134	2975
513	3140	2969
514	3147	2964
515	3153	2957
516	3158	2950
517	3166	2946
518	3171	2939
519	3180	2935
520	3185	2928
521	3191	2922
522	3196	2915
523	3201	2908
524	3208	2902
525	3214	2896
526	3220	2890
527	3229	2886
528	3236	2882
529	3243	2876
530	3248	2869
531	3254	2863
532	3261	2857
533	3267	2851
534	3272	2844
535	3278	2837
536	3285	2833
537	3291	2826
538	3298	2820
539	3303	2814
540	3308	2807
541	3314	2800
542	3319	2793
543	3324	2786
